a,287072,"A:22345,"
li,83757,"LI:4646,Li:663,lI:43,"
wo,63507,"WO:3246,Wo:230,wO:9,"
wang,51834,"WANG:2871,Wang:461,wANG:9,WAng:8,WaNg:7,waNG:4,wanG:3,WanG:2,WANg:2,waNg:1,wAng:1,wAnG:1,"
xiao,48389,"XIAO:2357,Xiao:302,xIao:5,XIao:5,XiAo:4,xiaO:3,xiAo:2,xIAO:2,XiaO:2,"
ai,46747,"AI:2397,Ai:135,aI:9,"
yu,44520,"YU:2449,Yu:239,yU:12,"
ni,39536,"NI:1930,Ni:81,nI:9,"
liu,39254,"LIU:2340,Liu:449,lIU:13,LiU:5,LIu:3,lIu:2,liU:1,"
wei,39160,"WEI:2067,Wei:152,weI:9,WeI:4,wEI:3,WEi:3,"
shi,37088,"SHI:1836,Shi:104,ShI:4,SHi:4,sHi:3,shI:2,sHI:2,"
zhang,36973,"ZHANG:1975,Zhang:336,ZHang:18,zhanG:7,zHANG:5,ZhanG:5,ZHANg:5,zhAng:2,ZHAng:2,zhaNG:1,zHaNg:1,ZhAnG:1,"
yang,34286,"YANG:1793,Yang:280,yANG:11,yanG:6,yaNG:6,YANg:6,yAng:2,YanG:1,YAng:1,"
chen,31538,"CHEN:1721,Chen:277,CHen:15,ChEn:11,cheN:5,cHEN:5,chEN:4,chEn:1,cHen:1,cHeN:1,CHeN:1,"
ma,29489,"MA:1695,Ma:177,mA:18,"
o,26728,"O:4033,"
wu,26275,"WU:1413,Wu:188,wU:11,"
yi,25938,"YI:1437,Yi:145,yI:9,"
yan,24923,"YAN:1389,Yan:173,YaN:11,yaN:3,yAn:2,yAN:1,YAn:1,"
hao,23982,"HAO:1300,Hao:110,haO:4,hAo:2,hAO:2,HAo:2,"
jia,23687,"JIA:1309,Jia:121,jiA:9,JIa:2,jIA:1,JiA:1,"
feng,23118,"FENG:1209,Feng:141,FEng:5,fenG:3,fENG:3,feNG:2,FenG:2,FeNg:1,FENg:1,"
e,23014,"E:1702,"
lin,22975,"LIN:1309,Lin:232,lIN:4,liN:3,LiN:2,lIn:1,LIn:1,"
jun,22042,"JUN:1260,Jun:91,juN:7,JuN:2,JUn:2,"
xu,21633,"XU:1294,Xu:186,xU:13,"
zhi,21407,"ZHI:885,Zhi:62,zhI:5,zHi:3,zHI:2,ZHi:2,"
xin,21386,"XIN:1140,Xin:96,xiN:3,xIn:2,XIn:2,XiN:1,"
wen,20909,"WEN:1179,Wen:91,wEN:3,weN:2,WeN:2,wEn:1,WEn:1,"
jian,20625,"JIAN:1086,Jian:123,JiAn:5,JIan:3,jiaN:2,jiAn:1,jiAN:1,jIan:1,JiaN:1,JIAn:1,"
jie,20218,"JIE:1091,Jie:65,jiE:4,jIE:2,jIe:1,JiE:1,JIe:1,"
jing,19354,"JING:1085,Jing:117,JiNg:8,jinG:6,jING:4,JIng:3,jiNg:1,jiNG:1,jInG:1,JinG:1,"
hua,19221,"HUA:1132,Hua:94,huA:4,HuA:2,hUa:1,hUA:1,"
hui,18286,"HUI:1023,Hui:119,hUI:3,huI:2,HUi:2,hUi:1,HuI:1,"
zi,18139,"ZI:926,Zi:83,zI:8,"
fei,17955,"FEI:911,Fei:110,feI:4,FeI:4,fEi:3,"
he,17715,"HE:990,He:139,hE:15,"
hu,17451,"HU:1102,Hu:122,hU:5,"
zhu,17359,"ZHU:1037,Zhu:94,ZhU:4,zHU:3,zhU:2,zHu:2,ZHu:1,"
long,17121,"LONG:963,Long:140,lonG:6,lONG:3,lOng:2,LonG:2,LONg:2,LoNg:1,"
ji,17120,"JI:944,Ji:69,jI:4,"
jin,16977,"JIN:978,Jin:89,"
tian,16941,"TIAN:898,Tian:114,tIAN:5,tiAN:2,TiaN:2,TiAn:2,TIan:2,tiaN:1,tIaN:1,TIAn:1,"
de,16932,"DE:911,De:57,dE:11,"
yuan,16660,"YUAN:894,Yuan:123,YUan:5,yUAN:4,yuaN:3,yuAN:2,yUan:1,yUaN:1,YuAn:1,YUAn:1,"
da,16373,"DA:896,Da:94,dA:7,"
qi,16304,"QI:874,Qi:114,qI:4,"
ming,16007,"MING:783,Ming:92,MINg:9,minG:7,mING:1,MinG:1,MiNg:1,"
hai,15454,"HAI:808,Hai:89,hAI:1,HaI:1,HAi:1,"
guo,15359,"GUO:951,Guo:103,GUo:4,guO:2,gUo:1,gUO:1,"
zhou,14984,"ZHOU:803,Zhou:115,ZhOu:6,ZHou:6,zHou:5,zhOU:2,zHOU:2,"
bo,14904,"BO:826,Bo:120,bO:9,"
lu,14885,"LU:941,Lu:128,lU:7,"
zhao,14543,"ZHAO:826,Zhao:110,ZHao:6,ZhAo:5,zhaO:3,zhAO:3,ZhaO:2,zHao:1,zHAo:1,zHAO:1,"
dong,14458,"DONG:780,Dong:101,donG:4,DonG:4,dONG:3,DoNg:1,"
sun,14050,"SUN:810,Sun:169,sUN:4,sUn:3,SuN:3,suN:2,SUn:1,"
lei,13624,"LEI:716,Lei:79,leI:3,LeI:3,lEI:2,lEi:1,"
xi,13529,"XI:735,Xi:67,xI:7,"
na,13443,"NA:672,Na:86,nA:48,"
huang,13298,"HUANG:728,Huang:170,HUang:6,huanG:3,HuanG:3,hUang:2,hUANG:2,HuAnG:1,"
le,13130,"LE:713,Le:200,lE:7,"
hong,13031,"HONG:698,Hong:103,hONG:3,honG:1,HonG:1,HOng:1,HONg:1,"
xia,12908,"XIA:515,Xia:55,xiA:2,"
liang,12827,"LIANG:656,Liang:122,liANG:4,LiAnG:3,lianG:2,LIang:2,LIanG:2,liaNG:1,lIang:1,lIaNg:1,"
han,12494,"HAN:690,Han:106,hAN:3,haN:2,HaN:1,"
jiang,12394,"JIANG:711,Jiang:101,JIang:3,jIANG:2,jiAng:1,jiAnG:1,jIang:1,JianG:1,JiAng:1,JIANg:1,"
qing,12121,"QING:645,Qing:90,qING:3,QIng:3,qinG:2,qIng:1,"
ke,11833,"KE:600,Ke:42,kE:8,"
xue,11811,"XUE:684,Xue:64,xUE:3,xuE:2,XuE:2,XUe:2,xUe:1,"
ye,11734,"YE:587,Ye:99,yE:3,"
tao,11726,"TAO:628,Tao:63,taO:5,tAo:2,tAO:2,TaO:2,"
peng,11649,"PENG:600,Peng:82,penG:6,pENG:2,PeNg:2,PEng:2,pEng:1,pEnG:1,PENg:1,"
ying,11473,"YING:714,Ying:81,yinG:2,YinG:2,yiNG:1,yING:1,YInG:1,"
ya,11444,"YA:605,Ya:65,yA:11,"
bao,11369,"BAO:630,Bao:62,bAo:1,BAo:1,"
bin,11287,"BIN:576,Bin:62,biN:3,bIn:2,bIN:2,BiN:1,"
xing,11140,"XING:526,Xing:55,xinG:2,XINg:2,xIng:1,xInG:1,xING:1,XiNg:1,"
gao,10941,"GAO:655,Gao:92,gAO:4,gAo:3,gaO:1,GaO:1,GAo:1,"
cheng,10809,"CHENG:538,Cheng:91,CHeng:5,chenG:3,cHENG:1,ChenG:1,CheNg:1,CHENg:1,"
mi,10788,"MI:560,Mi:113,mI:9,"
xiang,10673,"XIANG:563,Xiang:72,xianG:4,xIaNg:2,XIANg:2,xIang:1,xIANG:1,XiAnG:1,XIang:1,"
ren,10517,"REN:585,Ren:54,reN:4,rEN:3,rEn:2,"
ling,10285,"LING:594,Ling:81,lING:4,linG:2,LinG:1,LiNg:1,LIng:1,"
si,10215,"SI:502,Si:54,sI:3,"
fu,10194,"FU:533,Fu:188,fU:7,"
yun,10169,"YUN:550,Yun:65,yuN:2,"
yao,10153,"YAO:529,Yao:76,yaO:7,yAo:3,yAO:2,"
ge,9925,"GE:528,Ge:60,gE:12,"
you,9873,"YOU:557,You:64,YOu:2,yoU:1,yOu:1,yOU:1,YoU:1,"
mei,9820,"MEI:521,Mei:51,MEi:2,meI:1,mEi:1,"
chao,9689,"CHAO:528,Chao:35,chaO:6,CHao:5,chAO:2,cHAo:1,cHAO:1,ChaO:1,"
yong,9621,"YONG:520,Yong:66,yONG:4,YoNg:1,"
cao,9460,"CAO:493,Cao:56,cAO:2,CaO:2,cAo:1,CAo:1,"
kai,9270,"KAI:482,Kai:41,kaI:2,kAI:1,"
yue,9201,"YUE:537,Yue:55,yuE:2,yUE:2,YuE:1,YUe:1,"
fan,9037,"FAN:482,Fan:74,faN:1,fAn:1,"
meng,8816,"MENG:501,Meng:72,menG:2,MEng:2,mENG:1,MenG:1,MeNg:1,"
song,8764,"SONG:449,Song:75,sonG:3,SonG:2,sOng:1,sONG:1,SoNg:1,"
fang,8709,"FANG:504,Fang:72,fanG:3,FanG:1,FaNg:1,FAng:1,FANg:1,"
min,8565,"MIN:563,Min:54,mIn:2,miN:1,MiN:1,"
cai,8558,"CAI:414,Cai:61,caI:8,cAi:1,cAI:1,CAi:1,"
luo,8534,"LUO:478,Luo:64,LUo:2,"
su,8389,"SU:479,Su:103,sU:9,"
ha,8266,"HA:491,Ha:37,hA:8,"
dan,8263,"DAN:476,Dan:53,dAN:2,DaN:1,"
nan,8201,"NAN:423,Nan:41,nAN:8,naN:4,nAn:2,NaN:2,"
lan,8137,"LAN:462,Lan:68,lAN:2,laN:1,LaN:1,"
zhen,7880,"ZHEN:389,Zhen:30,ZHen:2,zheN:1,zhEN:1,zHeN:1,"
er,7836,"ER:380,Er:14,eR:7,"
sheng,7808,"SHENG:392,Sheng:42,shenG:2,sHENG:1,ShenG:1,SHeng:1,"
mao,7736,"MAO:388,Mao:52,maO:5,MaO:1,"
shen,7639,"SHEN:392,Shen:43,sheN:3,ShEn:2,shEn:1,sHEN:1,SHen:1,SHeN:1,"
shan,7506,"SHAN:439,Shan:40,SHan:5,sHAN:3,ShAn:2,shaN:1,shAN:1,"
ping,7497,"PING:432,Ping:36,pinG:3,pINg:1,pING:1,PiNg:1,"
shu,7414,"SHU:404,Shu:28,SHu:2,shU:1,sHu:1,sHU:1,ShU:1,"
qian,7344,"QIAN:416,Qian:50,qiaN:1,qIAN:1,QiAn:1,"
bu,7322,"BU:318,Bu:41,bU:3,"
qiang,7269,"QIANG:377,Qiang:69,qIaNg:1,QiAng:1,QiAnG:1,"
zheng,7236,"ZHENG:379,Zheng:40,ZHeng:2,zhEnG:1,zHeng:1,zHENG:1,ZhEnG:1,ZHEng:1,"
du,7184,"DU:392,Du:63,dU:5,"
tang,7145,"TANG:362,Tang:113,tanG:4,TaNg:3,tAng:2,tANG:1,"
wan,6852,"WAN:420,Wan:56,WaN:6,wAn:3,waN:1,wAN:1,WAn:1,"
an,6766,"AN:375,An:109,aN:13,"
bing,6759,"BING:353,Bing:42,binG:2,BINg:2,bIng:1,bING:1,BIng:1,"
qin,6707,"QIN:347,Qin:60,qIN:2,qIn:1,"
di,6703,"DI:334,Di:23,dI:7,"
ting,6593,"TING:393,Ting:46,tinG:1,tIng:1,tING:1,"
ba,6502,"BA:406,Ba:51,bA:6,"
zhong,6420,"ZHONG:361,Zhong:38,zhOng:2,ZhonG:1,ZhOnG:1,ZHong:1,ZHOng:1,"
bai,6414,"BAI:307,Bai:48,BaI:2,baI:1,bAI:1,"
rui,6340,"RUI:329,Rui:55,ruI:2,rUi:1,"
xie,6168,"XIE:358,Xie:62,xIE:1,XIe:1,"
mo,6165,"MO:307,Mo:76,mO:10,"
yin,5980,"YIN:350,Yin:35,yiN:1,yIn:1,YiN:1,"
pan,5745,"PAN:342,Pan:50,pAn:4,paN:1,"
huan,5685,"HUAN:274,Huan:26,HUan:1,"
lao,5673,"LAO:279,Lao:37,LaO:2,"
qiu,5656,"QIU:347,Qiu:45,qIU:2,"
bei,5644,"BEI:297,Bei:69,bEi:1,bEI:1,"
gu,5626,"GU:313,Gu:55,gU:5,"
chi,5597,"CHI:264,Chi:148,chI:8,cHI:3,ChI:1,CHi:1,"
xian,5434,"XIAN:328,Xian:33,xIAN:3,XIan:2,xIan:1,"
ding,5350,"DING:300,Ding:54,dING:4,DinG:1,DIng:1,"
chun,5237,"CHUN:308,Chun:33,chuN:1,ChuN:1,"
jiao,5211,"JIAO:291,Jiao:24,jIaO:2,jIAO:1,JiAo:1,JIao:1,"
dao,5209,"DAO:240,Dao:8,daO:1,dAO:1,"
rong,5130,"RONG:265,Rong:40,ronG:2,rONG:2,roNg:1,rOnG:1,RonG:1,ROng:1,"
la,5059,"LA:225,La:30,lA:6,"
se,5009,"SE:204,Se:70,sE:10,"
ne,4974,"NE:219,Ne:15,nE:11,"
bi,4888,"BI:260,Bi:28,bI:2,"
ning,4877,"NING:250,Ning:29,"
shao,4875,"SHAO:255,Shao:33,SHao:3,shAo:1,ShaO:1,"
chang,4812,"CHANG:274,Chang:33,chanG:2,cHANG:1,CHang:1,"
gang,4810,"GANG:257,Gang:35,GaNg:1,"
guang,4779,"GUANG:238,Guang:30,GUANg:1,"
tong,4719,"TONG:277,Tong:50,TOng:3,"
juan,4549,"JUAN:289,Juan:28,juAn:1,jUan:1,jUAN:1,"
dai,4537,"DAI:251,Dai:34,dAI:2,"
shui,4516,"SHUI:210,Shui:10,SHui:1,"
deng,4502,"DENG:260,Deng:43,DenG:1,DeNg:1,"
xuan,4470,"XUAN:246,Xuan:22,xuAn:1,xUAN:1,XuAn:1,"
mu,4469,"MU:228,Mu:48,mU:2,"
sha,4407,"SHA:207,Sha:28,shA:4,sHa:3,"
ka,4323,"KA:194,Ka:37,kA:2,"
lian,4236,"LIAN:209,Lian:25,liAN:2,liAn:1,lIAN:1,LiAn:1,"
sa,4208,"SA:238,Sa:68,sA:10,"
quan,4088,"QUAN:218,Quan:23,quaN:2,qUAN:1,QuAn:1,QUan:1,"
cui,4023,"CUI:246,Cui:29,cuI:1,cUI:1,"
jiu,4003,"JIU:175,Jiu:14,"
tan,3946,"TAN:223,Tan:37,TAn:2,tAN:1,"
lv,3945,"LV:238,Lv:35,lV:5,"
po,3935,"PO:197,Po:19,pO:1,"
ri,3906,"RI:196,Ri:35,rI:6,"
shang,3893,"SHANG:203,Shang:51,shANG:1,SHang:1,"
shuai,3883,"SHUAI:194,Shuai:8,SHuai:3,SHUai:2,shuAi:1,sHuai:1,ShuaI:1,"
me,3869,"ME:191,Me:57,mE:5,"
kang,3861,"KANG:206,Kang:28,kANG:2,KaNg:2,KAng:1,"
kun,3856,"KUN:183,Kun:26,kuN:1,kUN:1,"
wa,3792,"WA:209,Wa:36,wA:6,"
gong,3760,"GONG:216,Gong:30,gONG:1,GonG:1,GONg:1,"
ju,3737,"JU:195,Ju:43,jU:2,"
gui,3637,"GUI:225,Gui:29,gUI:1,"
lai,3619,"LAI:198,Lai:20,laI:4,"
fa,3568,"FA:205,Fa:31,fA:3,"
zhe,3555,"ZHE:170,Zhe:13,zhE:1,ZhE:1,ZHe:1,"
dou,3543,"DOU:207,Dou:26,doU:3,DoU:1,DOu:1,"
ran,3511,"RAN:192,Ran:37,raN:1,rAN:1,RaN:1,RAn:1,"
niu,3470,"NIU:216,Niu:24,nIU:1,"
miao,3427,"MIAO:175,Miao:22,miaO:3,miAo:1,miAO:1,mIaO:1,"
xiong,3422,"XIONG:179,Xiong:12,XionG:1,"
lang,3420,"LANG:190,Lang:15,lanG:1,"
tu,3419,"TU:188,Tu:17,tU:5,"
nai,3309,"NAI:161,nAI:24,Nai:19,nAi:4,"
man,3307,"MAN:176,Man:37,MaN:5,mAN:1,"
hou,3265,"HOU:173,Hou:42,hOu:1,HoU:1,"
zai,3235,"ZAI:158,Zai:11,ZaI:1,ZAi:1,"
qiao,3214,"QIAO:175,Qiao:28,qiaO:1,"
liao,3054,"LIAO:182,Liao:38,liaO:1,liAO:1,lIAO:1,"
