a,8999,"A:598,"
e,4648,"E:216,"
o,4054,"O:163,"
na,3120,"NA:49,Na:34,nA:9,"
ma,2789,"Ma:96,MA:44,mA:10,"
ne,2778,"NE:45,Ne:22,nE:7,"
me,2604,"Me:70,ME:55,mE:6,"
ri,1881,"RI:24,Ri:15,rI:2,"
mi,1872,"Mi:58,MI:44,mI:2,"
la,1746,"La:30,LA:28,lA:4,"
li,1566,"LI:23,Li:20,lI:2,"
ni,1549,"NI:23,Ni:15,nI:3,"
da,1518,"Da:44,DA:30,dA:12,"
re,1513,"Re:45,RE:23,rE:9,"
ta,1468,"Ta:25,TA:19,tA:7,"
ka,1466,"Ka:53,KA:16,"
de,1455,"DE:28,De:27,dE:6,"
sa,1329,"Sa:30,SA:16,sA:4,"
se,1314,"Se:37,SE:25,sE:8,"
ca,1265,"Ca:43,CA:15,cA:3,"
mo,1225,"Mo:40,MO:11,mO:2,"
le,1220,"Le:37,LE:25,lE:3,"
ke,1197,"KE:24,Ke:12,kE:4,"
ge,1121,"GE:19,Ge:16,gE:7,"
te,1110,"TE:23,Te:20,tE:8,"
an,1090,"An:35,AN:16,aN:7,"
ba,1073,"Ba:24,BA:20,bA:4,"
ce,956,"CE:18,Ce:13,cE:1,"
er,935,"ER:16,Er:7,eR:6,"
lo,933,"Lo:26,LO:12,lO:3,"
bo,915,"Bo:24,BO:18,bO:2,"
man,844,"Man:14,MAN:11,MaN:2,mAn:1,mAN:1,"
ha,823,"Ha:20,HA:15,hA:3,"
sha,765,"Sha:13,SHA:10,shA:2,"
pa,759,"Pa:31,PA:15,pA:1,"
si,753,"Si:22,SI:15,sI:1,"
ju,734,"Ju:48,JU:13,jU:3,"
ga,727,"Ga:23,GA:4,gA:1,"
ti,720,"Ti:16,TI:14,"
shi,696,"SHI:12,Shi:11,"
ya,626,"Ya:14,YA:12,yA:5,"
chi,580,"Chi:14,CHI:10,"
di,572,"Di:14,DI:4,dI:2,"
po,558,"PO:12,Po:9,pO:1,"
sun,517,"Sun:20,SUN:11,SUn:1,"
su,495,"Su:14,SU:13,sU:9,"
lu,485,"Lu:20,LU:7,lU:1,"
bi,479,"Bi:8,BI:5,"
du,457,"Du:23,DU:8,dU:4,"
che,445,"Che:12,CHE:4,chE:1,cHe:1,cHE:1,"
en,441,"eN:6,EN:5,En:4,"
yo,424,"Yo:17,YO:7,yO:1,"
ci,410,"Ci:7,CI:6,"
ru,394,"Ru:17,RU:12,rU:3,"
ran,392,"RAN:4,Ran:2,RaN:1,RAn:1,"
gan,388,"GAN:8,gaN:1,Gan:1,"
pi,371,"Pi:12,PI:3,pI:1,"
wa,357,"WA:8,Wa:7,wA:2,"
tu,342,"Tu:13,TU:9,tU:3,"
cha,338,"Cha:13,CHA:10,CHa:2,"
nu,336,"Nu:6,NU:6,nU:3,"
fa,327,"Fa:13,FA:11,fA:1,"
dan,322,"Dan:13,DAN:2,daN:1,dAn:1,"
nie,321,"NIE:5,Nie:3,niE:1,"
bu,316,"Bu:9,BU:9,bU:5,"
he,295,"He:13,HE:8,hE:5,"
chan,290,"Chan:13,CHAN:2,"
ku,287,"Ku:5,KU:3,kU:1,"
za,283,"Za:14,ZA:7,zA:4,"
ji,257,"JI:3,Ji:1,"
mu,255,"Mu:10,MU:5,mU:3,"
san,248,"San:7,SAN:4,sAN:1,SaN:1,"
cu,247,"Cu:5,CU:4,cU:1,"
can,240,"Can:8,CAN:3,cAn:1,CaN:1,"
lv,238,"LV:3,lV:2,"
lan,238,"Lan:4,LAN:3,"
ye,228,"Ye:6,yE:4,"
lia,228
lin,227,"Lin:7,LIN:2,lIn:1,"
gu,223,"Gu:10,GU:8,gU:4,"
she,204,"She:11,SHE:2,"
you,202,"You:9,yOU:1,"
wo,201,"Wo:7,WO:2,"
ze,194,"ZE:6,zE:5,Ze:5,"
dia,190,"Dia:4,DIA:2,diA:1,"
die,189,"DIE:5,Die:1,"
fu,188,"Fu:6,FU:1,"
que,186,"Que:5,QUE:1,"
min,186,"Min:5,MIN:3,mIn:1,mIN:1,MiN:1,"
zi,181,"ZI:5,zI:1,Zi:1,"
ai,181,"Ai:10,AI:7,"
